"code","type","lat","lon","lang"
"HT","knooppuntIntercitystation","51.69048","5.29362","'s-Hertogenbosch"
"HTO","stoptreinstation","51.700553894043","5.3183331489563","'s-Hertogenbosch Oost"
"HDE","stoptreinstation","52.4091682","5.893611","'t Harde"
"ATN","stoptreinstation","51.9213265245505","6.57862722873687","Aalten"
"AC","stoptreinstation","52.2785","4.977","Abcoude"
"AKM","stoptreinstation","53.0463905334473","5.84361124038696","Akkrum"
"AMR","knooppuntIntercitystation","52.6377792358398","4.73972225189209","Alkmaar"
"AMRN","stoptreinstation","52.6438903808594","4.76416683197022","Alkmaar Noord"
"AML","knooppuntIntercitystation","52.3580551147461","6.65388870239258","Almelo"
"AMRI","stoptreinstation","52.3419456481934","6.66666650772095","Almelo de Riet"
"ALMB","stoptreinstation","52.3941650390625","5.2780556678772","Almere Buiten"
"ALM","knooppuntIntercitystation","52.37503","5.21764","Almere Centrum"
"ALMM","stoptreinstation","52.3675003051758","5.19027757644653","Almere Muziekwijk"
"ALMO","stoptreinstation","52.4033317565918","5.30055570602417","Almere Oostvaarders"
"ALMP","stoptreinstation","52.3766670227051","5.24472236633301","Almere Parkwijk"
"AMPO","stoptreinstation","52.342778","5.151944","Almere Poort"
"APN","knooppuntIntercitystation","52.1244430541992","4.65777778625488","Alphen a/d Rijn"
"AMF","knooppuntIntercitystation","52.1538887023926","5.37055540084839","Amersfoort"
"AMFS","stoptreinstation","52.1748221374512","5.40388870239258","Amersfoort Schothorst"
"AVAT","sneltreinstation","52.1927795410156","5.43388891220093","Amersfoort Vathorst"
"ASA","intercitystation","52.3466682434082","4.91777801513672","Amsterdam Amstel"
"ASB","knooppuntStoptreinstation","52.3122215270996","4.94694423675537","Amsterdam Bijlmer ArenA"
"ASD","megastation","52.3788871765137","4.90027761459351","Amsterdam Centraal"
"ASHD","stoptreinstation","52.29844","4.95972","Amsterdam Holendrecht"
"ASDL","stoptreinstation","52.3577766418457","4.83388900756836","Amsterdam Lelylaan"
"ASDM","stoptreinstation","52.3605537414551","4.93111133575439","Amsterdam Muiderpoort"
"RAI","stoptreinstation","52.3372230529785","4.89027786254883","Amsterdam RAI"
"ASSP","stoptreinstation","52.35526","4.94651","Amsterdam Science Park"
"ASS","knooppuntIntercitystation","52.3888893127441","4.83777761459351","Amsterdam Sloterdijk"
"VMW","facultatiefStation","52.330134","4.92975","Amsterdam Van der Madeweg"
"ASDZ","intercitystation","52.3388900756836","4.871666431427","Amsterdam Zuid"
"ANA","stoptreinstation","52.8672218322754","4.81111097335815","Anna Paulowna"
"APD","knooppuntIntercitystation","52.2091674804687","5.97027778625488","Apeldoorn"
"APDM","stoptreinstation","52.2052764892578","6.00055551528931","Apeldoorn De Maten"
"APDO","stoptreinstation","52.2152786254883","6.00444459915161","Apeldoorn Osseveld"
"APG","stoptreinstation","53.3258135","6.8619577","Appingedam"
"AKL","stoptreinstation","51.8719444274902","4.99277782440186","Arkel"
"ARN","stoptreinstation","51.5016670227051","3.66916656494141","Arnemuiden"
"AH","knooppuntIntercitystation","51.9850006103516","5.89916658401489","Arnhem Centraal"
"AHPR","stoptreinstation","51.9880561828613","5.94388866424561","Arnhem Presikhaaf"
"AHP","stoptreinstation","51.985279083252","5.91944456100464","Arnhem Velperpoort"
"AHZ","stoptreinstation","51.9550018310547","5.85194444656372","Arnhem Zuid"
"ASN","knooppuntIntercitystation","52.9916648864746","6.57083320617676","Assen"
