"station","id","time","type","carrier"
"AC",4049,"2016-07-28T13:40:00+0200","Sprinter","NS"
"AC",4042,"2016-07-28T13:49:00+0200","Sprinter","NS"
"AC",4051,"2016-07-28T14:10:00+0200","Sprinter","NS"
"AC",4044,"2016-07-28T14:19:00+0200","Sprinter","NS"
"AC",4053,"2016-07-28T14:40:00+0200","Sprinter","NS"
"AC",4046,"2016-07-28T14:49:00+0200","Sprinter","NS"
"AC",4055,"2016-07-28T15:10:00+0200","Sprinter","NS"
"AC",4048,"2016-07-28T15:19:00+0200","Sprinter","NS"
"AC",7448,"2016-07-28T15:38:00+0200","Sprinter","NS"
"AC",4057,"2016-07-28T15:40:00+0200","Sprinter","NS"
"AC",4050,"2016-07-28T15:49:00+0200","Sprinter","NS"
"AC",7450,"2016-07-28T16:08:00+0200","Sprinter","NS"
"AC",4059,"2016-07-28T16:10:00+0200","Sprinter","NS"
"AC",4052,"2016-07-28T16:19:00+0200","Sprinter","NS"
"AC",7459,"2016-07-28T16:20:00+0200","Sprinter","NS"
"AC",7452,"2016-07-28T16:38:00+0200","Sprinter","NS"
"AC",4061,"2016-07-28T16:40:00+0200","Sprinter","NS"
"AC",4054,"2016-07-28T16:49:00+0200","Sprinter","NS"
"AC",7461,"2016-07-28T16:50:00+0200","Sprinter","NS"
"AC",7454,"2016-07-28T17:08:00+0200","Sprinter","NS"
"AC",4063,"2016-07-28T17:10:00+0200","Sprinter","NS"
"AC",4056,"2016-07-28T17:19:00+0200","Sprinter","NS"
"AC",7463,"2016-07-28T17:20:00+0200","Sprinter","NS"
"AC",7456,"2016-07-28T17:38:00+0200","Sprinter","NS"
"AC",4065,"2016-07-28T17:40:00+0200","Sprinter","NS"
"AC",4058,"2016-07-28T17:49:00+0200","Sprinter","NS"
"AC",7465,"2016-07-28T17:50:00+0200","Sprinter","NS"
"AC",7458,"2016-07-28T18:08:00+0200","Sprinter","NS"
"AC",4067,"2016-07-28T18:10:00+0200","Sprinter","NS"
"AC",4060,"2016-07-28T18:19:00+0200","Sprinter","NS"
"AC",7467,"2016-07-28T18:21:00+0200","Sprinter","NS"
"AH",3044,"2016-07-28T13:31:00+0200","Intercity","NS"
"AH",30943,"2016-07-28T13:31:00+0200","stoptrein","Arriva"
"AH",980638,"2016-07-28T13:35:00+0200","Snelbus i.p.v. trein","NS"
"AH",7546,"2016-07-28T13:37:00+0200","Sprinter","NS"
"AH",125,"2016-07-28T13:37:00+0200","ICE International","NS International"
"AH",3642,"2016-07-28T13:42:00+0200","Intercity","NS"
"AH",980790,"2016-07-28T13:45:00+0200","Stopbus i.p.v. trein","NS"
"AH",3146,"2016-07-28T13:46:00+0200","Intercity","NS"
"AH",30745,"2016-07-28T13:48:00+0200","stoptrein","Breng"
"AH",980639,"2016-07-28T13:50:00+0200","Snelbus i.p.v. trein","NS"
"AH",7645,"2016-07-28T13:54:00+0200","Sprinter","NS"
"AH",980791,"2016-07-28T14:00:00+0200","Stopbus i.p.v. trein","NS"
"AH",3046,"2016-07-28T14:01:00+0200","Intercity","NS"
"AH",30945,"2016-07-28T14:03:00+0200","stoptrein","Arriva"
"AH",980640,"2016-07-28T14:05:00+0200","Snelbus i.p.v. trein","NS"
"AH",7548,"2016-07-28T14:07:00+0200","Sprinter","NS"
"AH",3644,"2016-07-28T14:12:00+0200","Intercity","NS"
"AH",980792,"2016-07-28T14:15:00+0200","Stopbus i.p.v. trein","NS"
"AH",3148,"2016-07-28T14:16:00+0200","Intercity","NS"
"AH",30747,"2016-07-28T14:18:00+0200","stoptrein","Breng"
"AH",980641,"2016-07-28T14:20:00+0200","Snelbus i.p.v. trein","NS"
"AH",7647,"2016-07-28T14:24:00+0200","Sprinter","NS"
"AH",980793,"2016-07-28T14:30:00+0200","Stopbus i.p.v. trein","NS"
"AH",3048,"2016-07-28T14:31:00+0200","Intercity","NS"
"AH",30947,"2016-07-28T14:33:00+0200","stoptrein","Arriva"
"AH",980642,"2016-07-28T14:35:00+0200","Snelbus i.p.v. trein","NS"
"AH",7550,"2016-07-28T14:37:00+0200","Sprinter","NS"
"AH",3646,"2016-07-28T14:42:00+0200","Intercity","NS"
"AH",980794,"2016-07-28T14:45:00+0200","Stopbus i.p.v. trein","NS"
"AH",3150,"2016-07-28T14:46:00+0200","Intercity","NS"
"AH",30749,"2016-07-28T14:48:00+0200","stoptrein","Breng"
"AH",980643,"2016-07-28T14:50:00+0200","Snelbus i.p.v. trein","NS"
"AH",7649,"2016-07-28T14:54:00+0200","Sprinter","NS"
"AH",980795,"2016-07-28T15:00:00+0200","Stopbus i.p.v. trein","NS"
"AH",3050,"2016-07-28T15:01:00+0200","Intercity","NS"
"AH",30949,"2016-07-28T15:03:00+0200","stoptrein","Arriva"
"AH",980644,"2016-07-28T15:05:00+0200","Snelbus i.p.v. trein","NS"
"AH",7552,"2016-07-28T15:07:00+0200","Sprinter","NS"
"AH",3648,"2016-07-28T15:12:00+0200","Intercity","NS"
"AH",980796,"2016-07-28T15:15:00+0200","Stopbus i.p.v. trein","NS"
"AH",3152,"2016-07-28T15:16:00+0200","Intercity","NS"
"AH",30751,"2016-07-28T15:18:00+0200","stoptrein","Breng"
"AH",980645,"2016-07-28T15:20:00+0200","Snelbus i.p.v. trein","NS"
"AH",7651,"2016-07-28T15:24:00+0200","Sprinter","NS"
"AH",980797,"2016-07-28T15:30:00+0200","Stopbus i.p.v. trein","NS"
"AH",3052,"2016-07-28T15:31:00+0200","Intercity","NS"
"AH",30951,"2016-07-28T15:31:00+0200","stoptrein","Arriva"
"AH",980646,"2016-07-28T15:35:00+0200","Snelbus i.p.v. trein","NS"
"AH",7554,"2016-07-28T15:37:00+0200","Sprinter","NS"
"AH",127,"2016-07-28T15:37:00+0200","ICE International","NS International"
"AH",3650,"2016-07-28T15:42:00+0200","Intercity","NS"
"AH",980798,"2016-07-28T15:45:00+0200","Stopbus i.p.v. trein","NS"
"AH",3154,"2016-07-28T15:46:00+0200","Intercity","NS"
"AH",30753,"2016-07-28T15:47:00+0200","stoptrein","Breng"
"AH",980647,"2016-07-28T15:50:00+0200","Snelbus i.p.v. trein","NS"
"AH",7653,"2016-07-28T15:54:00+0200","Sprinter","NS"
"AH",7556,"2016-07-28T16:07:00+0200","Sprinter","NS"
"AH",3652,"2016-07-28T16:13:00+0200","Intercity","NS"
"AH",980800,"2016-07-28T16:15:00+0200","Stopbus i.p.v. trein","NS"
"AH",3156,"2016-07-28T16:16:00+0200","Intercity","NS"
"AH",30755,"2016-07-28T16:17:00+0200","stoptrein","Breng"
"AH",980649,"2016-07-28T16:20:00+0200","Snelbus i.p.v. trein","NS"
"AH",7655,"2016-07-28T16:24:00+0200","Sprinter","NS"
"AH",980801,"2016-07-28T16:30:00+0200","Stopbus i.p.v. trein","NS"
"AH",3056,"2016-07-28T16:31:00+0200","Intercity","NS"
"AH",30955,"2016-07-28T16:33:00+0200","stoptrein","Arriva"
"AH",980650,"2016-07-28T16:35:00+0200","Snelbus i.p.v. trein","NS"
"AH",7558,"2016-07-28T16:37:00+0200","Sprinter","NS"
"AH",3654,"2016-07-28T16:42:00+0200","Intercity","NS"
"AH",980802,"2016-07-28T16:45:00+0200","Stopbus i.p.v. trein","NS"
"AH",3158,"2016-07-28T16:46:00+0200","Intercity","NS"
"AH",30757,"2016-07-28T16:47:00+0200","stoptrein","Breng"
"AH",980651,"2016-07-28T16:50:00+0200","Snelbus i.p.v. trein","NS"
"AH",7657,"2016-07-28T16:54:00+0200","Sprinter","NS"
"AH",980803,"2016-07-28T17:00:00+0200","Stopbus i.p.v. trein","NS"
"AH",3058,"2016-07-28T17:01:00+0200","Intercity","NS"
"AH",30957,"2016-07-28T17:03:00+0200","stoptrein","Arriva"
"AH",980652,"2016-07-28T17:05:00+0200","Snelbus i.p.v. trein","NS"
"AH",3656,"2016-07-28T17:12:00+0200","Intercity","NS"
"AH",980804,"2016-07-28T17:15:00+0200","Stopbus i.p.v. trein","NS"
"AH",3160,"2016-07-28T17:16:00+0200","Intercity","NS"
"AH",30759,"2016-07-28T17:18:00+0200","stoptrein","Breng"
"AH",980653,"2016-07-28T17:20:00+0200","Snelbus i.p.v. trein","NS"
"AH",7659,"2016-07-28T17:24:00+0200","Sprinter","NS"
"AH",980805,"2016-07-28T17:30:00+0200","Stopbus i.p.v. trein","NS"
"AH",3060,"2016-07-28T17:31:00+0200","Intercity","NS"
"AH",30959,"2016-07-28T17:31:00+0200","stoptrein","Arriva"
"AH",980654,"2016-07-28T17:35:00+0200","Snelbus i.p.v. trein","NS"
"AH",7562,"2016-07-28T17:37:00+0200","Sprinter","NS"
"AH",129,"2016-07-28T17:37:00+0200","ICE International","NS International"
"AH",3658,"2016-07-28T17:42:00+0200","Intercity","NS"
"AH",980806,"2016-07-28T17:45:00+0200","Stopbus i.p.v. trein","NS"
"AH",3162,"2016-07-28T17:46:00+0200","Intercity","NS"
"AH",30761,"2016-07-28T17:48:00+0200","stoptrein","Breng"
"AH",980655,"2016-07-28T17:50:00+0200","Snelbus i.p.v. trein","NS"
"AH",7661,"2016-07-28T17:54:00+0200","Sprinter","NS"
"AH",980807,"2016-07-28T18:00:00+0200","Stopbus i.p.v. trein","NS"
"AH",3062,"2016-07-28T18:01:00+0200","Intercity","NS"
"AH",30961,"2016-07-28T18:03:00+0200","stoptrein","Arriva"
"AH",980656,"2016-07-28T18:05:00+0200","Snelbus i.p.v. trein","NS"
"AH",7564,"2016-07-28T18:07:00+0200","Sprinter","NS"
